Description,Ticker,Field ID,Field Mnemonic,Data State,Nov-23,Oct-23,Sep-23,Aug-23,Jul-23,Jun-23,May-23,Apr-23,Mar-23,Feb-23,Jan-23,Dec-22,Nov-22,Oct-22,Sep-22,Aug-22,Jul-22,Jun-22,May-22,Apr-22,Mar-22,Feb-22,Jan-22,Dec-21,Nov-21,Oct-21,Sep-21,Aug-21,Jul-21,Jun-21,May-21,Apr-21,Mar-21,Feb-21,Jan-21,Dec-20,Nov-20,Oct-20,Sep-20,Aug-20,Jul-20,Jun-20,May-20,Apr-20,Mar-20,Feb-20,Jan-20,Dec-19,Nov-19,Oct-19,Sep-19,Aug-19,Jul-19,Jun-19,May-19,Apr-19,Mar-19,Feb-19,Jan-19,Dec-18,Nov-18,Oct-18,Sep-18,Aug-18,Jul-18,Jun-18,May-18,Apr-18,Mar-18,Feb-18,Jan-18,Dec-17,Nov-17,Oct-17,Sep-17,Aug-17,Jul-17,Jun-17,May-17,Apr-17,Mar-17,Feb-17,Jan-17,Dec-16
        SAS AB,CSAS1E5 CMAN Curncy,PR005,PX_LAST,Dynamic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,708.85,583.76,589.99,594.075,532.87,497.73,492.565,462.405,432.51,415,412.56,425.495,434.295,381.83,326.985,316.62,317.56,313.94,286.095,288.43,258.345,319.295,341.355,303.16,298.27,291.06,284.395,258.515,271.91,266.22,262.165,309.65,357.16,349.74,387.315,418.465,553.95,570.345,576.695,589.23,589.945,614.315,612.15,650.64,673.8,721.075,729.335
    Asia,,,,Average,101.055,109.2225,99.535,94.155,88.1575,98.6625,100.8775,108.325,112.432505,105.88,103.4575,131.42,137.895,160.875,174.1125,168.3675,185.79,192.6325,156.7925,150.85,144.345,149.105,141.6625,129.8725,129.6125,106.4575,108.3,107.6575,106.5425,104.605,110.5725,117.0325,119.485,121.445,132.9725,119.3,125.1625,163.6175,176.1725,177.07,173.6075,158.865,217.16,210.845,245.25,64.03,51.23,51.350005,53.5875,56.05,58.0675,54.5325,55.4,60.187495,64.3325,57.445,62.325,61.855,72.625,87.15,75.1625,69.67,67.347505,64.87,67.987495,67.1725,64.0725,62.9475,62.3825,57.212495,58.5125,62.32,64.3675,64.825,66.4675,66.1025,70.79,74.9975,81.8675,83.3075,83.8125,81.3025,93.75,94.855
        All Nipon Airways,CANA1J5 CMAN Curncy,PR005,PX_LAST,Dynamic,55.42,61.19,57.57,54.69,48.23,53.44,55.925,66.98,72.22501,63.99,59.07,78.44,86.74,115.39,151.94,148.825,169.19,188.755,130.4,126.54,117.26,125.005,121.025,99.635,107.125,56.735,60.47,57.265,56.39,51.285,65.9,78.425,82.21,85.53,102.6,87.185,92.39,133.96,139.755,155.345,145,121.515,144.305,128.665,145,42.845,30.225,29.085,32.11,33.65,32.675,28.94,30.375,32.225,35.78,30.715,34.945,35.635,39.94,53.405,39.495,37.205,34.735,36.47,37.575,35.61,35.505,37.415,36.055,34.665,35.355,36.365,36.53,36.36,36.39,36.26,34.365,34.5,35.84,39.88,40.625,37,38.5,35
        Japan Airlines Corp,CJAL1J5 CBGN Curncy,PR005,PX_LAST,Dynamic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Qantas Airways,CQTAS1U5 CMAN Curncy,PR005,PX_LAST,Dynamic,146.69,157.255,141.5,133.62,128.085,143.885,145.83,149.67,152.64,147.77,147.845,184.4,189.05,206.36,196.285,187.91,202.39,196.51,183.185,175.16,171.43,173.205,162.3,160.11,152.1,156.18,156.13,158.05,156.695,157.925,155.245,155.64,156.76,157.36,163.345,151.415,157.935,193.275,212.59,198.795,202.215,196.215,290.015,293.025,345.5,85.215,72.235,73.61501,75.065,78.45,83.46,80.125,80.425,88.14999,92.885,84.175,89.705,88.075,105.31,120.895,110.83,102.135,99.96001,93.27,98.39999,98.735,92.64,88.48,88.71,79.75999,81.67,88.275,92.205,93.29,96.545,95.945,107.215,115.495,127.895,126.735,127,125.605,149,154.71
    Middle East / Africa,,,,Average,107.34,126.455,101.35,90.045,97.48,103.535,117.785,109.21,113.3,100.875,111.305,117.26,141.795,170.7,168.5,166.77,193.845,176.69,179.495,151.02,145.51,159.225,154.885,145.995,174.555,171.705,178.05,174.79,175.955,140.6,144.685,141.025,163.685,165.08,180.55,176.905,186.32,229.825,253.91,296.405,328.78,363.36,415.855,321.07,322.935,153.345,128.29,120.235,126.57,144.33,150.515,140.635,140.695,150.465,153.29,189.545,182.95,173.735,175.765,179.38,173.335,167.44,188.495,190.155,192.34,181.23,166.765,150.835,114.185,114.185,125.37,139.62,143.64,130.43,130.56,128.44,130.515,130.475,118.33,114.24,123.44,134.59,143.795,153.96
        Emirates Airline,CT975941 CMAN Curncy,PR005,PX_LAST,Dynamic,107.34,126.455,101.35,90.045,97.48,103.535,117.785,109.21,113.3,100.875,111.305,117.26,141.795,170.7,168.5,166.77,193.845,176.69,179.495,151.02,145.51,159.225,154.885,145.995,174.555,171.705,178.05,174.79,175.955,140.6,144.685,141.025,163.685,165.08,180.55,176.905,186.32,229.825,253.91,296.405,328.78,363.36,415.855,321.07,322.935,153.345,128.29,120.235,126.57,144.33,150.515,140.635,140.695,150.465,153.29,189.545,182.95,173.735,175.765,179.38,173.335,167.44,188.495,190.155,192.34,181.23,166.765,150.835,114.185,114.185,125.37,139.62,143.64,130.43,130.56,128.44,130.515,130.475,118.33,114.24,123.44,134.59,143.795,153.96
,,,,Static,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stored Fleet,,,,Heading,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% of Total Fleet Stored,,,,Heading,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Boeing,,,,Heading,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        737 Classic,PCFS737C Index,PR005,PX_LAST,Dynamic,,33.93,34.96,36.19,37.13,39.89,42.33,44.98,45.55,42.6,40.18,38.66,41.27,38.04,36.72,35.06,35.28,35.91,36.27,37.04,36.69222344,37.75,36.42,36.2,36.68831169,36.35,35.71,36.63,36.41,36.48,36.97,38.06,38.34,39.38,38.05,37.55,38.8,36.68,37.62,38.66,41.6,43.23,47.88,51,48.76,25.83,26.29,25.08,24.62,25.08,23.33,22.7,23.08,24.82,26.55,26.15,25.95,26.07,25.92,24.88,25.22,23.43,22.14,22.15,23.87,25.19,26.2,27.1,27.85,27.57,28.08,28.64,29,29.2,29.8,25.2,22.7,22.1,23.4,23.9,24.6,25.15,24.98,26.17
        737NG,PCFS737N Index,PR005,PX_LAST,Dynamic,,5.26,5.59,6.03,6.44,7.47,9.73,11.05,10.8,10.68,10.94,10.99,13.27,12.01,10.72,10.82,11.19,13.35,14.81,17.04,26.87747036,12.44,11.94,12.21,12.48341931,12.66,12.88,13.87,14.62,15.44,17.33,18.96,20.1,21.03,20.4,16.96,19.35,17.58,18.5,19.18,20.76,30.47,46.93,54,44.47,3.03,2.21,2.16,2.3,2.14,1.79,1.98,2.08,2.37,2.74,3.29,3.09,2.48,1.87,1.7,1.75,1.65,1.4,1.16,1.13,1.24,1.32,1.56,1.69,1.64,1.6,1.71,1.6,1.4,1.3,1.4,1.4,1.4,1.7,1.7,1.8,1.6,1.37,1.47
        737 Max,PCFSMB7M Index,PR005,PX_LAST,Dynamic,,2.92,2.74,3.23,3.91,5.2,7.9,9.85,12.35,14.48,15.74,15.57,16.43,17.18,17.6,18.18,19.63,21.64,22.8,23.41,25.24,27.8,27.2,27.3,30.5,34,36.4,38.4,40.9,49.1,58.4,72.6,66.3,81.6,89.5,95.4,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,4,4.297994,3.647416,2.158273,0.416667,0.456621,0.507614,0,0,0,0,0,0,2.5,6.756757,8.163265,8.823529,13.333333,50,54.545455,16.666667,,,,,,
        747-400,PCFSB747 Index,PR005,PX_LAST,Dynamic,,24.34,24.59,25.49,25.82,27.12,27.78,29.08,28.01,29.45,28.48,25.4,25.64,25.32,25,27.24,27.16,28.34,28.16,28.71,24.12698413,21.2,21.52,19.3,19.93670886,21.2,22.26,23.51,24.69,26.91,26.97,29.25,30.15,29.94,29.18,27.96,32.57,32.48,35.81,36.41,37.4,38.24,40.21,44,44.62,17.02,13.21,11.43,12.5,12.69,12.18,11.17,13.32,15.52,15.4,15.78,15.25,15.46,16.07,16.03,15.75,16.86,17.18,15.76,17.59,19.77,19.86,22.49,22.49,24.46,23.54,23.29,23,22.8,19.7,19.9,20.3,20,19.6,19.8,19.8,18.29,18.83,19.48
        767-300ER,PCFSB767 Index,PR005,PX_LAST,Dynamic,,10.56,11.68,11.94,12.8,12.97,15.41,16.88,16.88,16.6,15.61,16.53,17.81,17.44,16.34,16.24,16.29,17.76,17.33,18.21,17.61363636,17.09,16.38,16.48,17.63869132,17.09,17.38,17.69,18.69,20.26,21.6,23.39,25.75,26.9,26.9,26.18,27.91,29.35,30.26,31.27,32.47,34.1,38.18,41.41,34.49,6.51,6.39,5.81,6.38,5.96,6.55,6.85,6.58,7.58,7.74,8.18,8.83,9.54,9.78,7.65,8.46,8.29,8.3,8.58,8.61,8.31,8.19,9.5,9.22,8.67,8.82,9.9,10.4,10.1,8.7,8.2,8.7,9.2,10.4,10.1,10.9,10.67,10.51,10.48
777,PCFSB777 Index,PR005,PX_LAST,Dynamic,,12.45,12.86,13.07,14.88,15.54,17.32,19.2,18.18,18.66,18.71,19.2,20.12,20.5,20.5,21.62,22.31,23.6,24.42,27.3,27.34931951,26.12,25.73,25.92,26.26459144,27.07,27.61,27.36,28.37,29.32,30.71,31.84,30.98,32.3,28.09,27.07,27.93,28.39,29.66,30.95,32.16,32.94,38.34,48.4,53.37,8.06,5.2,5.27,5.01,4.83,4.92,4.92,5.18,5.77,6.12,7.91,5.28,4.77,4.64,4.97,4.84,4.99,4.78,4.67,4.55,5.08,5.84,6.8,6.67,6.35,5.61,5.5,6,5.9,5.3,4.6,4.3,4.2,4.5,4.4,4.6,4.14,3.65,4
        MD11,PCFSMD11 Index,PR005,PX_LAST,Dynamic,,27.5,26.67,27.5,26.67,30,25.83,20.83,16.67,15.83,17.5,10,9.17,7.5,6.67,7.5,7.5,7.5,6.67,8.33,8.26446281,7.44,8.26,8.26,9.090909091,9.92,9.17,9.17,9.17,10.83,10,10.83,10.83,10.83,10.83,10.01,9.17,10.01,12.5,13.22,12.4,12.4,12.3,14.6,13.93,11.48,8.94,7.32,6.5,5.69,5.69,4.88,4.03,6.35,5.56,5.56,4.76,3.97,4.72,4.72,4.72,4.72,9.7,9.7,9.7,9.7,9.7,10.37,13.14,15.11,14.49,13.04,13,13.7,16.8,16.8,17.2,17.2,16.4,16.4,18.5,17.12,18.92,18.92
        MD80,PCFSMD80 Index,PR005,PX_LAST,Dynamic,,60.71,57.81,57.65,58.43,59.53,59.92,60.31,60.94,60.55,61.92,63.98,64.02,62.22,62.41,62.36,62.87,63.64,60.74,63.31,61.39705882,60.66,61.4,61.4,60.74074074,61.72,61.37,62.95,64.77,65.96,68.07,68.66,67.62,68.99,68.88,68.18,70.21,70.89,71.58,75.6,76.58,73.27,66.96,67.3,65.55,52.45,52.4,48.96,49.31,49.86,48.48,42.97,40.62,38.44,41.22,41.5,40.92,40.82,40.38,38.35,38.26,32.94,33.18,30.32,30.02,29.98,30,31.15,31.25,29.83,28.78,28.57,28.8,29,28.2,29.1,28.3,30,30.9,31.3,32.3,31.54,31.06,31.69
        MD90,PCFSMD90 Index,PR005,PX_LAST,Dynamic,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,96.15,76.92,57.69,0,0,0,15.15,15.15,12.12,5.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33,0,1.59,1.6,3.1,1.6,0,0,0,0,0,0,0,0,0
787,PCFSB787 Index,PR005,PX_LAST,Dynamic,,3.26,3.46,3.49,3.7,3.9,4.67,5.64,5.77,5.61,6.37,7.63,9.91,8.99,7.5,7.56,8.36,10.22,9.89,11.69,9.495548961,9.32,10.01,10.7,11.7938553,12.88,12.98,13.28,12.69,13.1,14.9,14.66,16.16,17.22,16.01,16.11,19.34,21.75,23.64,26.25,26.35,29.82,37.2,49.13,59.55,10.02,4.12,4.79,4.24,3.85,4.01,4.3,4.7,4.88,4.52,4.94,3.18,3.62,4.68,5.11,5.48,7.41,4.3,3.58,4.59,6.05,7.49,4.1,2.52,2.58,2.31,2.03,2.1,1.6,1.5,1.5,1.4,1.4,1.4,1.5,1.7,1.34,1.36,1.39
